IdProducto	DescProducto	Conjunto	Familia
@2457237	SET MESA Y 2 SILLAS SAFARI	MESAS MADERA INFANTIL	MUEBLES
@2015897	TUBO DE DESAGUE DE 2X1 METRO	TUBOS PVC SANITARIO	PLOMERIA / GASFITERIA
@1890735	"MOTOBOMBA 4"" X 9 HP"	MOTOBOMBAS	PLOMERIA / GASFITERIA
@166219	TORN TECHO 10X2 ZBR 144UN	TORNILLOS TECHO	FERRETERIA
@2504812	LAMP UFO LED 15W LZ CALID	PLAFONES REDONDOS LED INTEGRADO	ILUMINACION Y VENTILADORES
@2509016	IO MUG SMILEY YUM	TAZONES PORCELANA	MENAJE
@512338	BATERIA V-13 INV PRO	BATERIAS 56-69 amp	ACCESORIOS AUTOMOVILES
@128430	ESCURRIDOR GRANDE CON P/ CUBIERTOS.	SECAPLATOS	ORGANIZACIÓN
@63517	LATEX PATO AMARILLO OCRE 4 LT	LATEX/VINILOS INTERIOR BASICO	PINTURA Y ACCESORIOS
@2181959	PLANTA ARTIF 46291	PLANTAS	JARDIN
@218073	INTERRUPTOR ADOSABLE 602 TICIN.	OTROS	ELECTRICIDAD
@15156	TAPASOL LATERAL NEGRA X 2 UND	CORTINAS Y TAPASOLES	ACCESORIOS AUTOMOVILES
@2480808	SET BASICO AZULEJOS 3PZS BO	INDIVIDUAL MULTIPRO	HERRAMIENTAS Y MAQUINARIAS
@1833197	PLA HON CAZ 560 CUADR MEDITERR	VAJILLA CERAMICA GRANEL	MENAJE
@1436945	CAMISA OXFORD CELESTE L	POLERAS/PLAYERAS/ CAMISAS	FERRETERIA
@1722867	LAVATORIO  BOLANO NEGRO	LAVAMANOS PARA 3 AGUJEROS	BANOS Y COCINAS
@10391	SIERRA PUNTA MINI 12P RL	CORTAR METAL	HERRAMIENTAS Y MAQUINARIAS
@2711834	RELOJ DE MANO MUNDIAL 2018	OTROS	CASA INTELIGENTE
@2486598	RELOJ PARED 25CM TEENS	RELOJES	DECORACION
@2249251	TAZA NVO SIFON JET BONE	DOS PIEZAS/WC/ESTANQUES/BACIAS E CAIXAS ACOPLADAS	BANOS Y COCINAS
