IdProducto	DescProducto	Conjunto	Familia
@2624915	PR BOWL FLORAL 17.5CM	BOWL Y ENSALADERAS ACRIL/MELAM	MENAJE
@204871X	SBL CAJA MINIBOX 11 AMAR/ROJ	CAJAS INFANTILES	ORGANIZACIÓN
@164194	REMACHE ALM T/POP 3.2X15 100UN.	REMACHES	FERRETERIA
@2431890	PE COC EMP GAS HF LUX50 60CM4H	ANAFES/ENCIMERAS-CUBIERTAS/PARRILLA GAS ACERO INOX	LINEA BLANCA Y CLIMATIZACION
@2127180	BOTA SEG  EDELBROCK 106 T37	ZAPATOS CUERO CON PROTECCION	FERRETERIA
@1593064	SENAL VINILO EXTINTOR 20X30CM.	SENALES/SENALIZADORES	FERRETERIA
@450227	GANCHO 3M CLEAR PARA CABLES	GANCHOS AUTOADHESIVOS	FERRETERIA
@2075504	DISCO LIJA 5 GRANO 220 PACKX5	 LIJA PARA LIJADORA	HERRAMIENTAS Y MAQUINARIAS
@2667460	SANTA/RENO EXTENSIBLE 27X90	FIGURAS TELA	TEMPORADA
@2438291	IO COOLER PLAYMAT 16QT CELESTE	NEVERAS/HIELERAS RIGIDAS	AIRE LIBRE
@166560X	SOMBRERO C/CINTA REFLECTIVA 3M	ACCESORIOS	FERRETERIA
@2043254	LIS SL 07X36 PLAIN BLANCO BRIL	LISTELOS BANOS	PISOS
@528145	PP COMBO ESMERIL 4.1/2 CJA ME	KIT ESMERIL ANGULAR	HERRAMIENTAS Y MAQUINARIAS
@2492083	CERR EMB PRINC ONDA BRON DER	CERRADURAS DE EMBUTIR BRONCE	FERRETERIA
@1373935	MICROTEXTURA BASE BLANCO GL	ESTUCOS DECORATIVOS ESPECIALES	PINTURA Y ACCESORIOS
@2455153	CAJONERA ACRILIC 3CAJ 15X17X17	GABINETES Y ORGANIZADORES (MUEBLES) BANO	ORGANIZACIÓN
@2856557	MADE PINO RADIATA 2X4X10.5	MADERA SECA CEPILLADA	MADERA Y TABLEROS
@1040103	TECLE 2 TONELADAS.	TECLE / GARRUCHA	HERRAMIENTAS Y MAQUINARIAS
@2701804	SBL TENEDOR PLAS BL 20UN	CUBIERTOS PLASTICOS GRANEL	MENAJE
@2657767	IO CANASTA MEDIANA LILA	CAJAS Y CANASTOS PLASTICO RIGIDO	ORGANIZACIÓN
@2454106	ACOPLE PAR BOLA REMOLQUE CORTO	REMOLQUE	ACCESORIOS AUTOMOVILES
@2421690	PE MU/2PTA ALU/EIRE 70X90X35PUERTAS	 FRENTES DE CAJON/ CAJONES	BANOS Y COCINAS
@2002132	APISONADOR DE 3HP SOKMAQ ARR	ADH VIBROPISONES	ALQUILER DE HERRAMIENTAS
@1391208	DESARMADOR 2 EN 1 MJ	SETS DE DESTORNILLADORES/ATORNILLADORES	HERRAMIENTAS Y MAQUINARIAS
@2055317	LAMP COLGANTE TOY STORY	INFANTILES COLGANTES	ILUMINACION Y VENTILADORES
@2770067	MA ESTRUCT 90X74X30CM BLPUERTAS	 FRENTES DE CAJON/ CAJONES	BANOS Y COCINAS
@1281046	O-TAB MDF 15MM 35X40CM	TABLEROS DIMENSIONADOS POR M2 OTROS	MADERA Y TABLEROS
@2532093	ADORNO ONION 8CM LUZ LED	ADORNOS COLGAR PLASTICO	TEMPORADA
@2060523	INDIVIDUAL 3D AVENGERS	INDIVIDUALES/BABEROS INFANTIL	MENAJE
@1078321	MANGUERA GLP 3/8 PREMIUM X MT.	FLEXIBLES Y MANGUERAS DE GAS	PLOMERIA / GASFITERIA
@2620707	KIT 3M ANTIP+MASC+TAPON	GAFAS/LENTES/ANTEOJOS	FERRETERIA
@217948	INTERR DIFERENCIAL 2X40A TICIN.	DIFERENCIALES	ELECTRICIDAD
@1701665	NIVEL FATMAX 24 MAGNETICO ST	MEDICION PARA NIVELAR	HERRAMIENTAS Y MAQUINARIAS
@1710699	PLUMILLA 20 BOSCH	PLUMILLAS/LIMPIA PARABRISAS	ACCESORIOS AUTOMOVILES
@1390481	SET 3 PZAS BANO CHOCOLATE	PISO / TAPETE DE BANO ALGODON	DECORACION
@1132199	LAMPA CUCHARA.	PALAS PUNTA HUEVO	JARDIN
@2481561	HERVIDOR WKET-SS17TEMP WURDEN	HERVIDORES ELECTRICOS DE AGUA	LINEA BLANCA Y CLIMATIZACION
@1958712	PE BA FR 2P60X70X58/XTP931/PFPUERTAS	 FRENTES DE CAJON/ CAJONES	BANOS Y COCINAS
@276573X	MB BAJO LAVD60X78X56BLPUERTAS	 FRENTES DE CAJON/ CAJONES	BANOS Y COCINAS
@1464523	PERNO U 5/16-18X2-1/2X1-3/8 1U.	PERNOS U/GRAMPAS PRENSA CABLE	FERRETERIA
@2718367	FAROL METAL PIRAMIDE 16X33CM 2	DECORACION PROGRAMAS ESPECIALES	JARDIN
@1646958	CAM HELENA INOX 90C 1MOT.	CAMPANAS CONVENCIONALES DE 75 CMS	LINEA BLANCA Y CLIMATIZACION
@405574	TANQUE PRESURIZADO 60 LITROS	PRESURIZADORAS	PLOMERIA / GASFITERIA
@258638X	PLATO PERRO BONES S FUCSIA	COMEDEROS Y BEBEDEROS PERROS	JARDIN
@2629240	LIMA PLANA BAST 8 NICHOL	REBAJAR Y PULIR METAL	HERRAMIENTAS Y MAQUINARIAS
@2085682	COMBO PISC RED 549X122 Y ACC	PISCINAS ESTRUCTURALES	AIRE LIBRE
@2042169	CORT ENR DIA/NOCHE BCA 100X100	ENROLLABLES TELA DIA/NOCHE	DECORACION
@2438038	BOTELLA PRINT SURT 24 OZ	TERMOS LIQUIDO	MENAJE
@1548646	CADENA 30 P/MOTOSIERRA MS381	OTROS ACCESORIOS	JARDIN
@2662469	GUIA TRANS T ALU MATE X2 5MT	CUBREJUNTAS METALICO	PISOS
@2044714	CAJA HERRAMIENTAS METAL 19	CAJAS METALICAS	HERRAMIENTAS Y MAQUINARIAS
@208676X	LATEX AMERICAN SATI PROFUN 1GL	TINTOMETRIA LATEX/VINILOS INTERIOR PREMIUM	PINTURA Y ACCESORIOS
@2398753	COJIN PARA REPOSERA VERDE	COJINES PARA REPOSERA/ASOLEADORA	AIRE LIBRE
@2084341	CABEZALD/REDP/PISCN12X13	LIMPIADORES DE FONDO Y ACCESORIOS	AIRE LIBRE
@1256025	BRAZO HIDR GAS C/BUFF 8KG/80NW	OTROS ACCESORIOS PARA MUEBLES	FERRETERIA
@1489321	SERRUCHO 18 REDLINE PRO	CORTAR MADERA	HERRAMIENTAS Y MAQUINARIAS
@1387774	ASTO MOPLEN RP ALMENDRA	ASIENTOS DE PLASTICOS	BANOS Y COCINAS
@2274833	CARBON VEGETAL MOLINOS DC 3KG	COMBUSTIBLES PARA ASADOR	AIRE LIBRE
@184346X	TAPER REDONDO TO GO 530ML	CONSERVADORES GRANEL	MENAJE
@2641526	ESPEJO MEMPHIS ANTI-EMP 54.2X7	ESPEJOS CON MARCO	BANOS Y COCINAS
@2671190	LVD BAR MNC OCE ARTIC	MONOMANDO LAVAPLATOS/TARJA MUEBLE	BANOS Y COCINAS
@2907208	LX KOLOR STANDARD PASTEL 4LT	TINTOMETRIA LATEX/VINILOS INTERIOR ESTANDAR	PINTURA Y ACCESORIOS
@2572648	BOTELLA WAVE TRITAN MINNIE	MENAJE INFANTIL	MENAJE
@2278154	SET BROC Y CINCEL SDS PL 17PCS	PUNTAS PARA ATORNILLAR	HERRAMIENTAS Y MAQUINARIAS
@2266849	FILTRO REEMPLAZO PURIFICADOR	COMPLEMENTOS/CONSUMIBLES	PLOMERIA / GASFITERIA
@2140233	PISO 45X45 2.03 MACAEL BLANCO CERAMICA EXTERIOR	 RUSTICO Y RUSTICO DECORADO	PISOS
@2263238	ESCRIT Z/ESTANTE FUCSIA	ESCRITORIOS MADERA	MUEBLES
@163112	PERNO HEX G2 3/8X1 1/2 ZBR 2UN.	PERNOS HEXAGONALES	FERRETERIA
@2627116	PR SET MITON YPOSA OLLA CELEST	TOMAOLLAS/GUANTES COCINA	MENAJE
@2119277	PE RIN EXT FRO ART DER PTA 450PUERTAS	 FRENTES DE CAJON/ CAJONES	BANOS Y COCINAS
@1852027	FAROL PARED CUADR ALUM NG 1L.	FAROLES DE PARED	ILUMINACION Y VENTILADORES
@1630911	SB MB BASE 120X82X52 5 3P 2CAJ.	MUEBLES DE COCINA RTA BASE	BANOS Y COCINAS
@2500825	PAPELERA 120L PLASTICO BASA	CONTENEDORES INDUSTRIALES MANEJO RESIDUOS Y DESECH	ASEO
@13064	JGO DESARMADORES 4 PZAS KARSON	SETS DE DESTORNILLADORES/ATORNILLADORES	HERRAMIENTAS Y MAQUINARIAS
@78700	DETERG ROP P MAX PODER 15KG	QUIMICOS ROPA DETERGENTE EN POLVO	ASEO
@2586290	CAJA ARENA C/TAPA IGLU TURQ	PRODUCTOS BANO/HIGIENE GATOS	JARDIN
@331015	VAST DUCHA P/PF LAT.	REPUESTO/REFACCIONES DE GASFITERIA	PLOMERIA / GASFITERIA
@2495724	FERT LIQ. CITRICO/FRUT 450 CC	FERTILIZANTES GENERICO	JARDIN
@1888986	FOCO FULL ESP 15W DAIRU LC E27	AHORRADORES MINI ESPIRALES	ILUMINACION Y VENTILADORES
@2385988	CESTA2TONO ROJO 30X30CM	MANTELES	TEMPORADA
@2380463	ADORNO METALICO ESCARCHADO	ADORNOS COLGAR METAL	TEMPORADA
@129038X	GUANTE BAQO LAVANDERIA 3M T 8	GUANTES DOMESTICOS	ASEO
@2501252	DETERG ROP P ARIEL 800GR	QUIMICOS ROPA DETERGENTE EN POLVO	ASEO
@2582368	PUSH S/REBOSE 1 1/4 P/OVALIN	DESAGUES/CONTRAS Y CONTRACANASTAS	PLOMERIA / GASFITERIA
@2582414	PUNTA MANGU 1/2 NPT X 3/8 MANG	FITTINGS / CONEXIONES BRONCE 3/8	PLOMERIA / GASFITERIA
@258543X	DENTALIFE LARGE DOG TREAT	SNACKS Y COMIDA HUMEDA PERROS	JARDIN
@2139502	CONMUTADOR TRIPL LIRIO MARF	PLACAS ARMADAS COLOR	ELECTRICIDAD
@1921010	PE MU/MO 2P60X70X35/XTG935/PFPUERTAS	 FRENTES DE CAJON/ CAJONES	BANOS Y COCINAS
@2232235	LENTE 3M ALTO IMPACTO LUNA AMA	GAFAS/LENTES/ANTEOJOS	FERRETERIA
@164601X	TER 10L SOLE GAS AUTO (GN).	CALEFON/CALENTADOR A GAS 10 Y 11 LTS/TIRO NATURAL	BANOS Y COCINAS
@2462567	ABRAZZOS INTEGRALMINI 500GR	SNACKS Y COMIDA HUMEDA PERROS	JARDIN
@1839616	BATERIA ENERJET 13S85 N2 OM9	BATERIAS 56-69 amp	ACCESORIOS AUTOMOVILES
@1885448	EQUIPO ENTEL PLAN PREPAGO 1	ACTIVACION	CASA INTELIGENTE
@1498797	2 PULPOS DE AMARRE 8MM X 60	PULPOS	ACCESORIOS AUTOMOVILES
@2512491	PERILLA 20MM CR.MAT GN04	TIRADORES/JALADERAS  PLATEADOS	FERRETERIA
@2613824	SOPORTE ERGONOM MUÑECAS MOUSE	COMPLEMENTOS DE ESCRITORIO	MUEBLES
@2105551	PAQUETE DE TROZOS DE MANZANA	COMBUSTIBLES PARA ASADOR	AIRE LIBRE
@1464353	CAD DECORATIV 2.8X16 BRONCEADA.	CADENAS DECORATIVAS	FERRETERIA
@160660	CLAVO ACERO 2.0 X 30MM 10 UN	OTROS CLAVOS	FERRETERIA
@2429209	ANGULO PVC BLANCO 30X30MM X2MT	OTROS ACCESORIOS PARA MUEBLES	FERRETERIA
@2056909	MANDIL PARRILLERO T-M	ACCESORIOS DE PARRILLA PARA COCINAR	AIRE LIBRE
@1137778	FOCO AHOR MINIES 12W LB E14 GE	AHORRADORES MINI ESPIRALES	ILUMINACION Y VENTILADORES
@2388618	SANTA ABROL CON LED	ADORNOS DE MESA	TEMPORADA
@1448935	KIT RIEL REPISA II 4 X 40	SET TARUGOS/TAQUETES CON TORNILLOS Y OTROS	FERRETERIA
@2106957	BARRAL PINO F J NTRL33X2700MM	 OTRAS MOLDURAS PINO	PUERTAS/VENTANAS/MOLDURAS
@2022575	MONOC LAVATORIO CROMADA	MONOMANDOS LAVATORIOS/LAVABOS BAJOS	BANOS Y COCINAS
@1862936	BATERIA ENERJET 15MB90 N2 SO9	BATERIAS 56-69 amp	ACCESORIOS AUTOMOVILES
@2665573	PR PORTAVELA 13CM TURQ	OTROS ACCESORIOS	DECORACION
@2485281	SETX10 BOLAS VERD/ROJO SURT HN	ADORNOS COLGAR PLASTICO	TEMPORADA
@2253283	SBL SET X 3 CANDADOS YALE 40MM	 CANDADO COMUN	FERRETERIA
@1729233	KIT TIRAF 1/4X21/2 C/TAR 10 4U	TIRAFONDOS/TORNILLO HEXAGONAL	FERRETERIA
@166333X	ARBOL MOUNTAIN 1.8M VERDE	ARBOLES SIN LUCES	TEMPORADA
@2388723	RENO LED 3D 200L	FIGURAS 3D	TEMPORADA
@300977	MACETA BALDE MEXICANO 33X30CM.	MACETEROS ARCILLA	JARDIN
@1292463	SIERRA COPA 102MM	 BROCA TIPO COPA	HERRAMIENTAS Y MAQUINARIAS
@1403540	TIJERA DE COCINA COLORES	UTENSILIO PARA CORTAR/PELAR	MENAJE
@1463861	MOSQUET ARG/DEST 5/8X3.1/2 1U.	MOSQUETONES / PERROS	FERRETERIA
@2607239	MEZCLADOR DUCHA MALAGA	MEZCLADORA DE DUCHA/REGADERA	BANOS Y COCINAS
@215482X	YESO 20KG CERM	YESO	OBRA GRUESA
@243217X	COMBO COC EKGC24CET7SPS/EJSE24	COMBOS DE LINEA BLANCA	LINEA BLANCA Y CLIMATIZACION
@2289113	IO-TUPPERS 500ML MINIONS	MENAJE INFANTIL	MENAJE
@210606X	ESTUFA TERMOVENT CERM	ESTUFAS/CALEFACTORES PARAFINA TRADICIONALES	LINEA BLANCA Y CLIMATIZACION
@2022826	SILLA PLEGABLE C/ BRAZOS AZUL	SILLAS Y PISOS PLEGABLES	AIRE LIBRE
@2534282	JUEGO VAJILLA 16PZS ROJO	JGO VAJILLAS 16 PZAS	MENAJE
@2633310	CUOTA INICIAL VEP ENTEL 29	ACTIVACION	CASA INTELIGENTE
@1280147	TOALLA MANO AFRICA 3C34X62   	TOALLAS DE MANO	DECORACION
@1934678	PE CO/VIS/CO 60X240/XTB930/PFPUERTAS	 FRENTES DE CAJON/ CAJONES	BANOS Y COCINAS
@1505939	ENERGIZER PILA A23 X1	PILAS ALCALINAS	ELECTRICIDAD
@2640538	DOWNLIGHT SOBRE CUAD 18W LF	DOWNLIGHTS SOBREPONER LED INTEGRADO	ILUMINACION Y VENTILADORES
@2587556	CASACA ACOLCHADA T-0	ROPA PERROS	JARDIN
@1731025	TAPER HC CURVE RECT  920 ML	CONSERVADORES GRANEL	MENAJE
@1830910	LLAVE LAVATORIO MEDIA CORDOBA	SENCILLA/LLAVE LAVATORIO/LAVABO	BANOS Y COCINAS
@2611945	ML M.MUR P/BAT 100CM MELAM HGPUERTAS	 FRENTES DE CAJON/ CAJONES	BANOS Y COCINAS
@1745751	LAMP PIE SATIN RUBI 1L E27.	PIE NIQUEL	ILUMINACION Y VENTILADORES
@2531569	SBL RELOJ COLOR 27.5CM	RELOJES	DECORACION
@2454645	DONUT INFLABLE ARO FRESA	FLOTADORES INFLABLES	AIRE LIBRE
@2454823	IO PORTAROPA EUROPA6D 15X30X84	CAJAS TELA	ORGANIZACIÓN
@2495783	SHAMPOO FOLIAR 450 CC  LPA	FUNGICIDAS ORGANICOS	JARDIN
@2373386	PACK 3M SIL SH REN CERA-LP	PACK ASEO	ACCESORIOS AUTOMOVILES
@217506	AUTOTRANS MONO 220-110V 1500VA	TRANSFORMADORES DOMICILIARIOS	ELECTRICIDAD
@11975	MARTILLO CARP 20OZ UB	MARTILLOS	HERRAMIENTAS Y MAQUINARIAS
@248675X	SBL 4 COPAS POSTRE 355 ML	COPAS SETS Y DISPLAY	MENAJE
@1702726	AROMATIZADOR ARBOLITO APPLE	AROMATIZADORES/AROMATIZANTES	ACCESORIOS AUTOMOVILES
@2603551	MEZCLADORA DUCHA MÁLAGA	MEZCLADORA DE DUCHA/REGADERA	BANOS Y COCINAS
@2260247	CANTO 22X0.45MM ORIGEN ANDINO	TAPACANTOS 0-10 MT	MADERA Y TABLEROS
@449377	BISAG BISA BCE ITAL 3X3 1U	BISAGRAS DECORATIVAS	FERRETERIA
@1987674	PROTECTOR COLCHON 1.5PZ	OTROS COMPLEMENTOS CAMA	DECORACION
@2161192	PAPELERA AHORESP 18L CREM BASA	CONTENEDORES DOMESTICOS PLASTICOS	ASEO
@1659235	MAXPRO X 6 GR	INSECTICIDAS QUIMICOS	JARDIN
@263208X	COLCHONETA DOBLE CAMPING 1.93M	COLCHONETAS/SOBREPISOS Y ALMOHADAS	AIRE LIBRE
@1510959	TIERRA UNIVERSAL P/ MACETAS.	MEZCLAS DE TIERRAS	JARDIN
@2878100	LIQUIDO D/FREN 200ML DOT-4	LIQUIDO DE FRENO	ACCESORIOS AUTOMOVILES
@337811	CUBIERTOS BLCO X 16PZAS.	CUBIERTOS PLASTICOS JGOS	MENAJE
@252239X	VARA ROSA CREMA 75CM	FLORES DE SEDA TODO EL ANO	JARDIN
@2272504	SEN VIN 20X30 SALIDA DERECHA	SENALES/SENALIZADORES	FERRETERIA
@2318865	PISO DE BANO TAXI 45X75CM	GANCHOS DE LICENCIAS	DECORACION
@1084984	ANTIDESLIZANTE SILICONA 64X37.	GANCHOS DE LICENCIAS	DECORACION
@2390663	RAMA PINO C/BERRIES 81CM	SPRAYS Y RAMAS	TEMPORADA
@2158663	FOCO PH AHO GLOBO 18W E27 LF	AHORRADORES DECORATIVAS Y ESPECIALES	ILUMINACION Y VENTILADORES
@2647907	GEL FROZEN 2X29ML	GEL ANTIBACTERIAL	ASEO
@391921	"CODO DESAGUE 6""X90o GRIS"	FITTINGS/CONEXIONES PVC SANITARIOS	PLOMERIA / GASFITERIA
@2427249	SERRUCO PARA TUBOS PVC	HERRAMIENTAS Y ACCESORIOS	PLOMERIA / GASFITERIA
@1837524	GLADE SENSATION LAVND  RPT X 1	AROMATIZADORES/AROMATIZANTES	ACCESORIOS AUTOMOVILES
@2464551	RASCADERO TIGRE PARA GATO	JUGUETES GATOS	JARDIN
@392413	SIKASIL E NEGRO	SILICONA MULTIUSOS VIDRIO Y ALUMINIO	PINTURA Y ACCESORIOS
@1244752	KIT BASICO PH - CLORO	LIMPIADORES DE FONDO Y ACCESORIOS	AIRE LIBRE
@2724103	LLAVE LAVAT.GAL. STANDAR ACRIL	LLAVES PASO	PLOMERIA / GASFITERIA
@2453355	CARTEL YOU SO ROCK 39X52	AUTOADHESIVOS DECORATIVOS	DECORACION
@1734954	TOMA TELFONICA RJ11 ST MAR	PLACAS ARMADAS COLOR	ELECTRICIDAD
@179582	ADOKING RECTAN NATURAL 10X20X4	ADOQUINES	OBRA GRUESA
@1308238	PAPELERA CALADA 5 LTS BEIGE	OTROS COMPLEMENTOS DE BANO	DECORACION
@1960970	PE BA 4C60X70X58 _B/XTG935/PFPUERTAS	 FRENTES DE CAJON/ CAJONES	BANOS Y COCINAS
@1342169	MANGUERA DE DESCARGA 3 XMETRO	ACCESORIOS DE BOMBAS Y MANGUERAS	PLOMERIA / GASFITERIA
@2531143	LAMP COLGANTE IMAN 1 LUZ	COLGANTES CRISTAL	ILUMINACION Y VENTILADORES
@2037718	HOJA CALAR 4 - 10TPI MADERA	HOJA DE SIERRA CALAR	HERRAMIENTAS Y MAQUINARIAS
@2424932	EXTENSION 3T UNIV 2 USB PORTAT.	DOMESTICAS	ELECTRICIDAD
@2601680	VAN LIQ MAX900ML+MAX 400ML	QUIMICOS ROPA DESMANCHADORES	ASEO
@2595966	CERR POMO CANTOL DORM BRON ANT	CERRADURAS POMO BRONCE	FERRETERIA
@2417782	GUIA TRANS BEIGE ADHES X0 9MT	LISTELOS BANOS	PISOS
@146633	VINERA GE GWC02 16BOT INOX 52L	CAVAS DE VINO	LINEA BLANCA Y CLIMATIZACION
@1132350	BROCA MADERA 15 MM XU BOSCH	BROCA PARA MADERA	HERRAMIENTAS Y MAQUINARIAS
@2455781	PIEDRAS DECORATIVAS ANARANJADO	PIEDRAS DECORATIVAS	JARDIN
@246473X	IO ORGANIZADOR NINA ROSA/BLNCO	ESTANTES MADERA INFANTILES	MUEBLES
@232234X	ANTHURIO ROSD	PLANTAS CON FLOR	JARDIN
@265783X	IO BOTE EDDY KIDS 400ML HEART	TERMOS LIQUIDO	MENAJE
@2235021	ALF GRAND SHAG CHOCO 160X230	ALFOMBRAS / TAPETES HEAT SET	DECORACION
@1608738	AUTOADHESIVO VACKD004.	AUTOADHESIVOS DECORATIVOS	DECORACION
@2487764	IO SET 2 SERVILLETAS	SERVILLETAS TELA	MENAJE
@2280930	 PISTOLA CALAFA MULTIUS TOPEX	PISTOLAS DE CALAFATEO	PINTURA Y ACCESORIOS
@2002523	LUZ GUIA 1W 3LEDS	LUCES DE GUIA	ILUMINACION Y VENTILADORES
@1981463	MACETA GRECCA N6 C/B	MACETEROS PLASTICOS	JARDIN
@2430576	IO NYLON AZUL	NYLON	FERRETERIA
@1840339	INTERRUPTOR T/RIEL 3X40A LS	TRIFASICOS/TRIPOLAR	ELECTRICIDAD
@2075334	BROCA MADERA 3/8-9.5MM DEWALT	BROCA PARA MADERA	HERRAMIENTAS Y MAQUINARIAS
@2598191	PECHERA C/ DISEÑO CELESTE	COLLARES Y TRAILLAS PERROS	JARDIN
@63665	LATEX PATO FASCINACION 4 LT	LATEX/VINILOS INTERIOR BASICO	PINTURA Y ACCESORIOS
@2281422	O GP MONEDA LITIO CR2032 3V	PILAS ESPECIALES	ELECTRICIDAD
@2398699	QUITASOL 2.4M CONTEMPORANEO	QUITASOLES CON MANILLA	AIRE LIBRE
@191149X	PE MURAL2P 60X90X35/CEN137/PFPUERTAS	 FRENTES DE CAJON/ CAJONES	BANOS Y COCINAS
@139150X	PORTA ELECTRODO	ACCESORIOS PARA SOLDAR	HERRAMIENTAS Y MAQUINARIAS
@64335	SATINADO CPP LILA 4 LT	LATEX/VINILOS INTERIOR PREMIUM	PINTURA Y ACCESORIOS
@2023121	PE SEGOVIA 754MM INOXPUERTAS	 FRENTES DE CAJON/ CAJONES	BANOS Y COCINAS
@1603531	SECACUBIERTOS DE ACERO INOX.	PORTAUTENSILIOS DE COCINA	ORGANIZACIÓN
@2533294	PLATO REDONDO 22CM TURQUESA	VAJILLA MELAMINA GRANEL	MENAJE
@1997386	LISTELO SL 7X35 MALABAR AMARIL	LISTELOS BANOS	PISOS
@2918366	SETX2 OLIVE VERDE Y ROJO NOEL	ADORNOS COLGAR PLASTICO	TEMPORADA
@1985159	SETX3CONTENED CHY3GR BL	CAJAS MULTIUSO	ORGANIZACIÓN
@1917250	PE MURAL1P 30X90X35/PIN280/PFPUERTAS	 FRENTES DE CAJON/ CAJONES	BANOS Y COCINAS
@1370790	TECHO ONDULINE ROJO 2MX095M	TEJAS ASFALTICAS	TABIQUERIA/TECHUMBRE/AISLACION
@2656655	IO LAMP MESA ROVIGO 1L E27 BLA	MESA NATURALES	ILUMINACION Y VENTILADORES
@2430037	BARRA REDON PVC BLAN 12MM X1MT	OTROS ACCESORIOS PARA MUEBLES	FERRETERIA
@119545X	ESFERAS 4CM AZUL BRILLO X24	ESFERAS BRILLANTES	TEMPORADA
@2574314	PLATO RECTANGULAR DE MELAMINA	VAJILLA MELAMINA GRANEL	MENAJE
@2483564	JARRA TERMO 1LT BLANCO	TERMOS LIQUIDO	MENAJE
@2481359	10HLIJA ORB MAD 93X185MMG100BO	LIJA PARA LIJADORA	HERRAMIENTAS Y MAQUINARIAS
@2513587	PERILLA 40MM MAD  ROSA 445RS2	TIRADRES/JALADERAS MADERA	FERRETERIA
@2389150	SET X6 VASOS BEBIDA 250ML	VASOS SETS Y DISPLAY	MENAJE
@1362550	PE TINA CARIBE I 151X82X38 CM	FIBRA DE VIDRIO	BANOS Y COCINAS
@2668734	LAMPARA LED SANTA	ADORNOS DE MESA	TEMPORADA
@2575868	SARTEN ALUM FUND COPPER 24	SARTEN/FREIDORA/PAILA ALUMINIO	MENAJE
@17353	SET CAJAS HERRAMIENTAS 22 Y 14	CAJAS PLASTICAS	HERRAMIENTAS Y MAQUINARIAS
@2004844	DISPENSADOR BAMBOO NEGRO	ACCESORIOS DE BANO MADERA/BAMBOO	DECORACION
@78263	INSECT MATAHORM POLVO TBX100G.	HORMIGUICIDAS	JARDIN
@277592	CODO GALV 90 3/4.	FITTINGS/CONEXIONES  GALVANIZADO	PLOMERIA / GASFITERIA
@1242725	TIR ZAM COLLER  ACER 96MM	 TIRADORES/JALADERAS  PLATEADOS	FERRETERIA
@2261316	MESA PLEG T/MALETA 244X76CM	MESAS	AIRE LIBRE
@1020315	TORN. TECHO 10X2 CAPUCHON 24.	TORNILLOS TECHO	FERRETERIA
@2001322	SET DE BANO MINNIE 3 PIEZAS	ACCESORIOS DE BANO PLASTICOS	DECORACION
@1454749	LISTELO KANTU WIND 7.7X40	LISTELOS BANOS	PISOS
@1263471	LAMP PIE 2L LAURA.	PIE NIQUEL	ILUMINACION Y VENTILADORES
@1049607	FIELTRO ADHE BEIG 1 1/2 X 8UND	PROTECTORES / FIELTROS	FERRETERIA
@2460513	LAVATORIO LARA BONE	LAVAMANOS PARA 3 AGUJEROS	BANOS Y COCINAS
@2596423	RICOCAT ADULTO SALMON 9KG	COMIDA SECA GATOS	JARDIN
@2006324	APLIQUE ACERO ORSHA 1X23W PH	APLIQUES/ARBOTANTE NIQUEL	ILUMINACION Y VENTILADORES
@141366X	AUTORROS 8X1 1/2YTARUGO M6 7U.	ROSCALATAS	FERRETERIA
@1632736	CORTINA BANO BRICK	CORTINAS DE BANO POLYESTER	DECORACION
@2762609	SARTEN PARIS 30 CM. C/ESPATULA	SARTEN/FREIDORA/PAILA ANTIADHE	MENAJE
@2659913	PACKX4 FOCO LED 10W LF E27	LED STANDARD (E27/E14)	ILUMINACION Y VENTILADORES
@2491591	IO  PORTA MACETERO MET 2PZS	PORTAMACETEROS COLGANTES	JARDIN
@2424045	ASPIRA BOLSA LIT21 1400W HEPA	ASPIRADORAS DE TAMBOR- SECO (POLVO)/SECO MOJADO	LINEA BLANCA Y CLIMATIZACION
@2443309	LIJA DE BANDA 3X21 GR.60 X3U	LIJA EN BANDA	HERRAMIENTAS Y MAQUINARIAS
@2373270	FILTRO USO GENERAL	ACCESORIOS DE ELECTRODOMESTICOS	LINEA BLANCA Y CLIMATIZACION
@2062623	IO IMANES TIPO GANCHO D/ROP TR.	FLOREROS	DECORACION
@1953958	PE BASE 1P 30X70X58ELN915/4CPUERTAS	 FRENTES DE CAJON/ CAJONES	BANOS Y COCINAS
@1826409	MB EK MURAL 30X70X35 1P MILAN	MUEBLES DE COCINA RTA ALACENAS Y GABINETES	BANOS Y COCINAS
@2350343	PISCINA EST REDONDA C/TOLDO UV	PISCINAS ESTRUCTURALES	AIRE LIBRE
@2013967	IO SET  MICKEY FUTBOL 405CC	MENAJE INFANTIL	MENAJE
@1554735	O-PLAT RATAN NATURAL 15	PLATOS Y BASES	JARDIN
@1390066	INTERRUPTOR T/RIEL 3X40A.	TRIFASICOS/TRIPOLAR	ELECTRICIDAD
@2428962	ANG U DOBL ALU PLAT MATE 20X10	OTROS ACCESORIOS PARA MUEBLES	FERRETERIA
@2056119	CORT SUNOUT TEXT 145X250 TERRA	CORTINAS DE COCINA	DECORACION
@246053X	TAPER 0.2 L FRUTA COLORES	CONSERVADORES GRANEL	MENAJE
@243461X	BOMBA DE 2500 GAL	BOMBAS Y FILTROS	AIRE LIBRE
@2605910	PSBETON GRISBRIL 60X60 EXT1.44 CERAMICA EXTERIOR	 RUSTICO Y RUSTICO DECORADO	PISOS
